NeighborhoodID,Neighborhood,City,NeighborhoodPopulation,NeighborhoodHouseholds,MedianIncome,PublicTransportPrct,WalkBiketoWorkPrct,UnemploymentPrct,AgeBelow18Prct,Age18To34Prct,Age35To54Prct,Age55To75Prct,AgeAbove75Prct
0,Armatage,Minneapolis,5252,2127,140363,0.0691,0.113,0.041299999999999996,0.23809999999999998,0.2129,0.32489999999999997,0.16970000000000002,0.054400000000000004
1,Audubon Park,Minneapolis,5318,2268,69684,0.07730000000000001,0.1243,0.0345,0.1956,0.3027,0.29309999999999997,0.188,0.0206
2,Bancroft,Minneapolis,3523,1517,71974,0.0916,0.1672,0.0483,0.21989999999999998,0.2803,0.2741,0.1912,0.0345
3,Eastview-Conway-Battle Creek-Highwood Hills,St Paul,23757,8107,52696,0.0464,0.049100000000000005,0.0571,0.29460000000000003,0.2735,0.22610000000000002,0.1675,0.0383
4,Beltrami,Minneapolis,1177,449,72188,0.1573,0.1103,0.052000000000000005,0.181,0.40580000000000005,0.2582,0.147,0.008100000000000001
5,Bottineau,Minneapolis,1551,640,46094,0.050199999999999995,0.1352,0.0666,0.1837,0.42900000000000005,0.262,0.1063,0.0189
6,Bryant,Minneapolis,3005,970,69328,0.11349999999999999,0.09390000000000001,0.08789999999999999,0.28690000000000004,0.293,0.275,0.1319,0.0132
7,Bryn - Mawr,Minneapolis,2924,1290,121683,0.0698,0.1431,0.039,0.1837,0.19150000000000003,0.2976,0.2842,0.0431
8,Cedar Riverside,Minneapolis,10024,3454,21645,0.1769,0.4147,0.1313,0.24910000000000002,0.5055000000000001,0.1346,0.0755,0.0353
9,Cedar - Isles - Dean,Minneapolis,3267,1668,115000,0.030600000000000002,0.1643,0.0252,0.1239,0.2507,0.22510000000000002,0.3063,0.0941
10,Central,Minneapolis,8152,2380,56947,0.1107,0.14300000000000002,0.0802,0.2855,0.3274,0.2611,0.11249999999999999,0.013399999999999999
11,Cleveland,Minneapolis,3244,1218,49439,0.0558,0.08,0.053200000000000004,0.29869999999999997,0.1844,0.3357,0.1628,0.018500000000000003
12,Columbia Park,Minneapolis,1602,686,59136,0.073,0.1353,0.0393,0.2066,0.27490000000000003,0.2622,0.19890000000000002,0.057499999999999996
13,Como,Minneapolis,6258,2236,43221,0.2829,0.2059,0.059699999999999996,0.1022,0.6712,0.1191,0.09839999999999999,0.0091
14,Como,St Paul,16778,7079,55682,0.0833,0.10779999999999999,0.0363,0.18269999999999997,0.26780000000000004,0.2807,0.21660000000000001,0.0521
15,Cooper,Minneapolis,3651,1587,79630,0.084,0.1671,0.028399999999999998,0.19140000000000001,0.18430000000000002,0.29500000000000004,0.29969999999999997,0.0298
16,Corcoran,Minneapolis,4357,1704,62782,0.155,0.1533,0.0382,0.21839999999999998,0.2782,0.2801,0.17709999999999998,0.0461
17,Dayton's Bluff,St Paul,18127,5695,44050,0.0828,0.0891,0.08349999999999999,0.2993,0.2856,0.23859999999999998,0.1427,0.033800000000000004
18,Diamond Lake,Minneapolis,5872,2149,131522,0.0682,0.049100000000000005,0.0187,0.25279999999999997,0.23109999999999997,0.31779999999999997,0.1469,0.051500000000000004
19,CapitolRiver Council,St Paul,8972,5600,53259,0.1595,0.2145,0.0559,0.0807,0.39659999999999995,0.2754,0.1969,0.0504
