placeID,placeName,placeType,latitude,longitude
0,ALDI,supermarket,44.96262780000001,-93.2555884
1,Wedge Community Co-op,supermarket,44.961351,-93.28761899999999
2,Family Dollar,supermarket,44.96483209999999,-93.2783111
3,Shuang Hur Supermarket Minneapolis,supermarket,44.9533048,-93.27825999999999
4,Super Mercado Morelia,supermarket,44.9481762,-93.2541646
5,Good Grocer,supermarket,44.9540281,-93.2783286
6,La Loteria Market,supermarket,44.9481671,-93.2705043
7,COLONIAL MARKET AND RESTAURANT,supermarket,44.95238699999999,-93.2780818
8,Sunshine Foods,supermarket,44.9430524,-93.27035939999999
9,Net Supermarket,supermarket,44.9640895,-93.2775508
10,Lj MultiServices LLC “LG travel”,supermarket,44.948101,-93.2846788
11,ALDI,supermarket,44.955366,-93.28762390000001
12,Oak Grove Grocery,supermarket,44.9666734,-93.2818889
13,East Village Market,supermarket,44.9681527,-93.25796679999999
14,Whole Foods Market,supermarket,44.9828273,-93.26945520000001
15,Lunds & Byerlys Downtown Minneapolis,supermarket,44.97456200000001,-93.2804872
18,Downtown Market & Deli,supermarket,44.9818298,-93.26465669999999
19,Target Grocery,supermarket,44.974929,-93.274424
21,Trader Joe's,supermarket,44.97701989999999,-93.25766960000001
22,Minneapolis College Store,supermarket,44.9732682,-93.283585
25,Seward Community Co-op - Franklin Store,supermarket,44.9624624,-93.23027719999999
29,West Bank Grocery,supermarket,44.9693608,-93.247106
33,Target Grocery,supermarket,44.9818047,-93.2351398
38,Walmart Supercenter,supermarket,45.0562708,-93.31626039999999
39,Sun Foods,supermarket,45.0704534,-93.3258716
40,Cub - Brooklyn Center,supermarket,45.0586169,-93.3235011
41,North Market,supermarket,45.0357642,-93.29812299999999
42,Family Dollar,supermarket,45.0580879,-93.3070826
43,Walmart,supermarket,45.05690750000001,-93.3188101
45,Cub - Minneapolis Lake Street,supermarket,44.9514414,-93.2358036
48,ALDI,supermarket,44.9485482,-93.2418215
68,Cub - Minneapolis Northside,supermarket,44.9981928,-93.2886618
69,Sentyrz Liquor & Supermarket,supermarket,45.00488259999999,-93.2664514
72,Family Dollar,supermarket,44.99986559999999,-93.2917428
82,ALDI,supermarket,45.0127119,-93.3078329
83,Family Dollar,supermarket,45.0116451,-93.30788679999999
86,So Low Grocery Outlet,supermarket,45.0125089,-93.2946731
89,Jordan Grocery & Deli,supermarket,45.01306899999999,-93.29846099999999
90,E And L Supermarket And Deli,supermarket,45.01328459999999,-93.2941616
103,De Venta Aqui,supermarket,45.01131040000001,-93.2475613
114,Lunds & Byerlys Highland Park,supermarket,44.9169748,-93.19089799999999
115,Longfellow Market,supermarket,44.9480812,-93.2169686
116,Widmer's Super Market,supermarket,44.934096,-93.182081
117,Northerly Flora,supermarket,44.93081,-93.212548
118,Cub - Minneapolis Minnehaha,supermarket,44.9188599,-93.21588469999999
119,ALDI,supermarket,44.9495762,-93.232439
120,Target Grocery,supermarket,44.9494431,-93.2371514
121,Oxendale's Market Minneapolis,supermarket,44.91138889999999,-93.2225
122,Supermercado La Morenita,supermarket,44.9409243,-93.2475668
127,Family Dollar,supermarket,44.9299654,-93.2532554
133,Cub - Minneapolis Uptown,supermarket,44.9497656,-93.29381169999999
134,Target Grocery,supermarket,44.9487059,-93.2961728
140,Cub - Minneapolis Nicollet,supermarket,44.8951649,-93.277217
141,ALDI,supermarket,44.8887647,-93.3094045
142,Kowalski's Market,supermarket,44.9055744,-93.28806159999999
143,Lunds & Byerlys Richfield,supermarket,44.8892177,-93.3095151
144,Kowalski's Market,supermarket,44.900955,-93.262329
145,Rong Market,supermarket,44.88473390000001,-93.2773366
155,Cub - St. Anthony,supermarket,45.0404346,-93.2215296
156,Cub - Minneapolis Quarry,supermarket,45.00495,-93.2324964
158,Cub Pharmacy,supermarket,45.039828,-93.22155099999999
160,Target Grocery,supermarket,45.0052279,-93.2293574
161,Family Dollar,supermarket,45.0418349,-93.24616499999999
168,Kowalski's Market,supermarket,44.9581194,-93.29599639999999
186,Metro star produce,supermarket,44.9870301,-93.20622519999999
188,Fresh Thyme Market,supermarket,44.9710453,-93.2141142
217,Hampden Park Co-Op,supermarket,44.9691291,-93.19772309999999
250,Trader Joe's,supermarket,44.93459199999999,-93.33739899999999
252,Lunds & Byerlys 50th Street Edina,supermarket,44.91164709999999,-93.3308058
255,Jerry's Foods,supermarket,44.909917,-93.3547473
256,Industrial Warehouse,supermarket,44.931814,-93.3288268
324,Lunds & Byerlys St. Louis Park,supermarket,44.93492370000001,-93.34721449999999
325,Whole Foods Market,supermarket,44.9477203,-93.3221851
327,Lunds & Byerlys Uptown Minneapolis,supermarket,44.9485336,-93.30020569999999
329,Fresh Thyme Market,supermarket,44.9327468,-93.3427099
330,Target Grocery,supermarket,44.9371388,-93.3462184
372,La Vaquita - Shortstop Superette,supermarket,44.875031,-93.24839019999999
373,Target Grocery,supermarket,44.8855423,-93.24846289999999
521,Cub - Crystal,supermarket,45.01959249999999,-93.347258
525,Cub Pharmacy,supermarket,45.01955580000001,-93.3464286
622,Cub - St. Louis Park,supermarket,44.9682215,-93.3489584
691,Cub - Edina Southdale,supermarket,44.88037229999999,-93.31984519999999
699,Target Grocery,supermarket,44.8756361,-93.32409709999999
790,Mike's Discount Foods,supermarket,45.05052020000001,-93.24842149999999
885,Shanghai Market Inc,supermarket,44.9771656,-93.165542
889,SHEGER MARKET,supermarket,44.95680989999999,-93.16734439999999
890,Cub - Roseville Har Mar,supermarket,45.002849,-93.16272389999999
891,Cub - Roseville,supermarket,44.9934367,-93.1504588
893,Dragon Star Oriental Foods,supermarket,44.9636935,-93.12690599999999
894,ALDI,supermarket,44.9925772,-93.1491477
895,Maryland Supermarket,supermarket,44.9771205,-93.1192006
896,Family Dollar,supermarket,44.99284469999999,-93.10421640000001
898,Tiger Supermarket,supermarket,44.9681689,-93.1061082
899,Sun Foods,supermarket,44.9548539,-93.12394499999999
900,Lunds & Byerlys Downtown St. Paul,supermarket,44.95137099999999,-93.0949091
901,Double Dragon Foods,supermarket,44.978061,-93.10528599999999
902,Little Saigon Supermarket,supermarket,44.9560667,-93.1150602
903,Bymore Supermercado,supermarket,44.9671692,-93.0738167
905,Payne-Ivy Grocery,supermarket,44.9816345,-93.07342419999999
906,Wung Lee Supermarket,supermarket,44.95604100000001,-93.1146179
907,La Palma Supermercado y Cafe,supermarket,44.96136620000001,-93.07692809999999
908,Whole Foods Market,supermarket,44.9467313,-93.1666748
909,Cub - St. Paul Midway,supermarket,44.9528005,-93.1608388
910,Kowalski's Market,supermarket,44.9403567,-93.153336
912,ALDI,supermarket,44.95545730000001,-93.1485794
914,Cub Pharmacy,supermarket,44.9530533,-93.1605062
916,Target Grocery,supermarket,44.9530067,-93.1547812
917,MIDWAY HALAAL GROCERY,supermarket,44.9536009,-93.1535055
918,Trader Joe's,supermarket,44.926697,-93.1458914
921,Mississippi Market Natural Foods Co-op,supermarket,44.9183616,-93.14009089999999
926,Oxendale's Market,supermarket,44.9268642,-93.156109
933,Family Dollar,supermarket,44.9028641,-93.1705532
934,ALDI,supermarket,44.9023824,-93.17082769999999
937,Cooper's Foods,supermarket,44.9348028,-93.1168274
938,Oxendale's Market West Saint Paul,supermarket,44.91587199999999,-93.100893
939,La Monarca Supermercado,supermarket,44.92945779999999,-93.07785249999999
940,La Monarca Supermercado,supermarket,44.92956819999999,-93.07772969999999
941,Walgreens,supermarket,44.911955,-93.08159549999999
942,7th Grocery,supermarket,44.947625,-93.098563
943,SuperMex Market,supermarket,44.9099886,-93.0801065
947,Mississippi Market Natural Foods Co-op,supermarket,44.94636200000001,-93.1265686
950,Shuang Hur Supermarket,supermarket,44.9554364,-93.12814379999999
955,双和超市,supermarket,44.9553929,-93.1279663
979,Mississippi Market Natural Foods Co-op,supermarket,44.9595749,-93.0703765
1005,Cub - St. Paul Phalen,supermarket,44.9764566,-93.0448041
1006,Centromex Supermercado,supermarket,44.9616829,-93.06609200000001
1011,"Sun World Supermarket, Inc.",supermarket,44.96811659999999,-93.0643535
1012,Sun World Supermarket,supermarket,44.9681053,-93.06425259999999
1013,Hoa Mei Market & Deli,supermarket,44.97734790000001,-93.0642038
1016,ALDI,supermarket,44.97588460000001,-93.0428994
1020,Supermercado Lomabonita,supermarket,44.9654983,-93.02511679999999
1035,Target Grocery,supermarket,44.94974390000001,-93.0291443
1037,ALDI,supermarket,44.9505478,-93.0157369
1039,Ha Tien Super Market,supermarket,44.9504889,-93.0179089
1050,Kaleidoscope Children's Garden,park,44.9580946,-93.2649203
1051,City Kid Farm/ TCAC,park,44.9503821,-93.2685577
1052,Urban Permaculture Design,park,44.94343000000001,-93.2673409
1053,Phillips Park,park,44.9595141,-93.2579294
1054,Mashkiikii Gitigan,park,44.95935300000001,-93.255291
1055,Stevens Square Park,park,44.9645582,-93.2744335
1056,LaSalle Community Garden,park,44.9653204,-93.2789346
1057,Bryant Square Park,park,44.94614079999999,-93.29033520000002
1058,Elliot Park,park,44.9694819,-93.2605159
1059,Wesac,park,44.94633959999999,-93.2515269
1060,On the Plaza,park,44.9704513,-93.27464909999999
1061,Peavey Field Park,park,44.9617565,-93.2637369
1062,Washburn Fair Oaks,park,44.9599097,-93.2739016
1063,Franklin Steele Park,park,44.9670543,-93.2685348
1064,Stewart Park,park,44.9547289,-93.25892619999999
1065,Clinton Field Park,park,44.95773,-93.27086899999999
1066,East Whittier Community Garden,park,44.95354419999999,-93.27598259999999
1067,Parking for Wasie Training Center,park,44.95253,-93.261099
1068,Target Park At The MIA,park,44.958509,-93.2735347
1069,Saint Stephens and Whittier Community Garden,park,44.96013649999999,-93.27173839999999
1070,Gold Medal Park,park,44.9776218,-93.25325120000001
1071,Minneapolis Sculpture Garden,park,44.96954789999999,-93.28978029999999
1072,First Bridge Park,park,44.9845018,-93.2644566
1073,Gateway Park,park,44.9835252,-93.26667379999999
1074,The Commons,park,44.975424,-93.261657
1077,North Loop Dog Park / Off-Leash Play Area,park,44.9880121,-93.2795424
1078,Father Hennepin Bluff Park,park,44.9826286,-93.2526985
1079,Mill Ruins Park,park,44.980031,-93.25798569999999
1080,BF Nelson Park,park,44.9920749,-93.2634882
1081,Boom Island Lighthouse,park,44.9931347,-93.27178939999999
1083,Currie Park,park,44.9701564,-93.2514071
1085,Holmes Park,park,44.9873808,-93.25147020000001
1086,GGB Garden,park,44.9828231,-93.29300889999999
1087,Voyageurs National Park Association,park,44.9795223,-93.28432269999999
1088,Sumner Field Park,park,44.9872776,-93.2916267
1089,Xcel Energy Water Power Park,park,44.9831344,-93.2546667
1091,Van Cleve Park,park,44.9867905,-93.2314105
1092,East River Flats Park,park,44.9703514,-93.2350599
1093,Franklin Terrace Off-Leash Dog Park,park,44.96453580000001,-93.22782869999999
1094,Hennepin Square Office M S P Park,park,44.99169,-93.2236381
1095,The Knoll,park,44.97861210000001,-93.23643840000001
1096,Matthew’s DMV,park,44.958293,-93.231444
1101,West Bank Community Garden,park,44.97042390000001,-93.2435228
1105,Murphy Square,park,44.9652534,-93.2401514
1107,Saint Anthony Park,park,44.9936868,-93.2550309
1109,Normanna Triangle,park,44.96082000000001,-93.242778
1110,North Mississippi Regional Park,park,45.0470722,-93.2833769
1111,Victory Park,park,45.03597209999999,-93.3147564
1112,Bellvue Park,park,45.0531862,-93.2900994
1113,Jenny Lind Community Garden,park,45.0472453,-93.29351830000002
1114,Victory Flagpole,park,45.0371063,-93.31941909999999
1115,Humphrey Park,park,45.03830689999999,-93.3321071
1116,BC Little League Thurs Park,park,45.06628200000001,-93.3157252
1117,Carl W. Kroening Interpretive Center,park,45.0433063,-93.2832679
1118,Centennial Park,park,45.0698839,-93.31147109999999
1119,Twin Lake Shores Park,park,45.043752,-93.3428199
1120,Sunset Park,park,45.0262797,-93.32405879999999
1121,Kylawn Park,park,45.0647639,-93.337673
1122,Happy Hollow Park,park,45.047094,-93.3230189
1123,Victory Memorial Parkway,park,45.03642269999999,-93.3193119
1124,Victory Prairie Off-Leash Recreation Area,park,45.0403299,-93.31270819999999
1125,Webber Park,park,45.03510960000001,-93.2929747
1126,Shingle Creek Park,park,45.046622,-93.30537799999999
1127,Olson Jr High Skatepark,park,45.04552169999999,-93.3014121
1128,Creekview Park,park,45.0453349,-93.3008967
1129,Ryan Lake Trail,park,45.04186289999999,-93.3191312
1149,Riverside Park,park,44.9659625,-93.23145439999999
1151,Theodore Wirth Regional Park,park,44.9898452,-93.3268367
1152,Bryn Mawr Meadows Park,park,44.9738249,-93.30220779999999
1153,Temple Israel - Minneapolis,park,44.9595343,-93.29501049999999
1154,Wirth Lake Public Access,park,44.98179770000001,-93.3207018
1158,Bethune Park,park,44.98746729999999,-93.2967587
1159,Harrison Park,park,44.983469,-93.3002114
1161,Parade Park,park,44.97102599999999,-93.293093
1162,Farwell Park,park,44.99029900000001,-93.31269089999999
1164,Cottage Park,park,45.0006803,-93.3024162
1165,Willard Park,park,44.9963448,-93.3098332
1168,Sheridan Memorial Park,park,44.9996936,-93.2736709
1169,Satori Community Garden,park,45.0049377,-93.287511
1175,Hi-View Park,park,45.0309561,-93.2670249
